,Year,US_State,Rate_of_Heart_Disease,Deaths
130,2018,NM,148.2,3935
131,2018,NY,171.9,44499
132,2018,NC,155.5,19222
133,2018,ND,140.0,1361
134,2018,OH,191.1,29220
135,2018,OK,228.5,10634
136,2018,OR,128.4,6820
137,2018,PA,176.1,32768
138,2018,RI,158.9,2411
139,2018,SC,167.0,10464
140,2018,SD,156.3,1796
141,2018,TN,202.4,16417
142,2018,TX,170.0,46763
143,2018,UT,146.4,3749
144,2018,VT,150.5,1338
145,2018,VA,147.9,14600
146,2018,WA,135.4,11655
147,2018,WV,196.4,5007
148,2018,WI,157.8,12061
149,2018,WY,152.7,1054
150,2017,AL,223.2,13110
151,2017,AK,135.0,814
152,2017,AZ,141.9,12398
153,2017,AR,223.8,8270
154,2017,CA,142.9,62797
155,2017,CO,122.7,7060
156,2017,CT,141.6,7138
157,2017,DE,158.4,1990
158,2017,FL,145.8,46440
159,2017,GA,175.8,18389
160,2017,HI,129.8,2575
161,2017,ID,162.4,3084
162,2017,IL,163.3,25394
163,2017,IN,183.2,14445
164,2017,IA,167.4,7180
165,2017,KS,157.9,5723
166,2017,KY,195.9,10343
167,2017,LA,214.4,11260
168,2017,ME,143.5,2844
169,2017,MD,164.5,11653
170,2017,MA,134.6,12140
171,2017,MI,196.1,25187
172,2017,MN,119.1,8230
173,2017,MS,231.6,7944
174,2017,MO,191.1,14820
175,2017,MT,155.0,2164
176,2017,NE,149.3,3581
177,2017,NV,199.3,6417
178,2017,NH,149.7,2721
179,2017,NJ,162.3,18840
180,2017,NM,151.4,3896
181,2017,NY,171.2,44092
182,2017,NC,156.5,18808
183,2017,ND,137.8,1326
184,2017,OH,186.2,28008
185,2017,OK,237.2,10772
186,2017,OR,134.0,6942
187,2017,PA,176.0,32312
188,2017,RI,155.7,2339
189,2017,SC,172.0,10418
190,2017,SD,150.1,1710
191,2017,TN,202.2,16019
192,2017,TX,169.2,45346
193,2017,UT,150.2,3749
194,2017,VT,152.5,1332
195,2017,VA,154.5,14861
196,2017,WA,138.8,11582
197,2017,WV,192.0,4849
198,2017,WI,157.6,11860
199,2017,WY,148.9,1001
200,2016,AL,222.5,12832
201,2016,AK,141.0,831
202,2016,AZ,138.9,11957
203,2016,AR,223.7,8090
204,2016,CA,143.1,61573
205,2016,CO,129.8,7277
206,2016,CT,144.3,7051
207,2016,DE,163.2,1974
208,2016,FL,146.2,45659
209,2016,GA,179.0,18143
210,2016,HI,127.0,2488
211,2016,ID,160.0,2969
212,2016,IL,165.7,25013
213,2016,IN,180.6,13952
214,2016,IA,162.8,6937
215,2016,KS,159.2,5672
216,2016,KY,203.0,10519
217,2016,LA,213.1,10943
218,2016,ME,149.5,2907
219,2016,MD,164.3,11390
220,2016,MA,134.8,11921
221,2016,MI,200.6,25304
222,2016,MN,114.9,7825
223,2016,MS,233.1,7865
224,2016,MO,192.1,14579
225,2016,MT,154.4,2138
226,2016,NE,140.3,3322
227,2016,NV,205.9,6457
228,2016,NH,151.1,2631
229,2016,NJ,164.7,18597
230,2016,NM,150.6,3800
231,2016,NY,177.8,44076
232,2016,NC,155.8,18266
233,2016,ND,140.9,1338
234,2016,OH,185.1,27410
235,2016,OK,228.2,10209
236,2016,OR,135.0,6968
237,2016,PA,176.2,31990
238,2016,RI,152.4,2256
239,2016,SC,173.8,10195
240,2016,SD,153.4,1729
241,2016,TN,198.8,15429
242,2016,TX,167.7,43772
243,2016,UT,150.0,3636
244,2016,VT,158.8,1366
245,2016,VA,150.7,14124
246,2016,WA,136.1,11161
247,2016,WV,191.0,4767
248,2016,WI,154.9,11526
249,2016,WY,157.8,1051
250,2015,AL,229.7,12981
251,2015,AK,154.1,846
252,2015,AZ,138.8,11458
253,2015,AR,223.2,7938
254,2015,CA,145.6,61289
255,2015,CO,128.4,7009
256,2015,CT,147.8,7205
257,2015,DE,165.2,1940
258,2015,FL,149.8,45441
259,2015,GA,180.2,17769
260,2015,HI,135.6,2605
261,2015,ID,156.4,2825
262,2015,IL,171.5,25652
263,2015,IN,182.3,13948
264,2015,IA,160.9,6813
265,2015,KS,158.5,5624
266,2015,KY,197.8,10077
267,2015,LA,212.1,10665
268,2015,ME,157.3,3009
269,2015,MD,169.3,11481
270,2015,MA,138.5,12130
271,2015,MI,198.9,24794
272,2015,MN,116.6,7844
273,2015,MS,240.5,7969
274,2015,MO,197.9,14808
275,2015,MT,155.8,2104
276,2015,NE,154.5,3591
277,2015,NV,200.9,6114
278,2015,NH,149.0,2571
279,2015,NJ,166.7,18647
280,2015,NM,142.4,3508
281,2015,NY,181.6,44450
282,2015,NC,162.4,18474
283,2015,ND,142.4,1323
284,2015,OH,191.7,28069
285,2015,OK,234.0,10310
286,2015,OR,136.1,6859
287,2015,PA,177.8,32042
288,2015,RI,160.4,2371
289,2015,SC,177.8,10092
290,2015,SD,150.9,1711
291,2015,TN,207.3,15730
292,2015,TX,171.6,43298
293,2015,UT,152.9,3598
294,2015,VT,152.5,1311
295,2015,VA,154.2,14077
296,2015,WA,137.6,11025
297,2015,WV,191.3,4727
298,2015,WI,156.0,11473
299,2015,WY,159.4,1030
300,2014,AL,224.0,12461
301,2014,AK,146.6,782
302,2014,AZ,136.4,10805
303,2014,AR,217.5,7581
304,2014,CA,142.2,58189
305,2014,CO,130.3,6900
306,2014,CT,145.6,7018
307,2014,DE,168.7,1921
308,2014,FL,151.3,44511
309,2014,GA,179.7,17107
310,2014,HI,136.7,2528
311,2014,ID,152.8,2676
312,2014,IL,169.7,25024
313,2014,IN,182.7,13764
314,2014,IA,157.3,6615
315,2014,KS,157.4,5479
316,2014,KY,200.5,10013
317,2014,LA,216.3,10647
318,2014,ME,147.9,2776
319,2014,MD,167.8,11135
320,2014,MA,137.1,11817
321,2014,MI,200.9,24692
322,2014,MN,116.5,7659
323,2014,MS,229.9,7538
324,2014,MO,194.7,14338
325,2014,MT,147.8,1957
326,2014,NE,143.0,3296
327,2014,NV,197.2,5761
328,2014,NH,147.9,2464
329,2014,NJ,166.3,18319
330,2014,NM,143.3,3424
331,2014,NY,178.3,43116
332,2014,NC,158.7,17592
333,2014,ND,149.2,1381
334,2014,OH,186.4,27000
335,2014,OK,228.1,9868
336,2014,OR,132.1,6524
337,2014,PA,175.8,31353
338,2014,RI,160.8,2341
339,2014,SC,181.1,9964
340,2014,SD,154.6,1704
341,2014,TN,205.6,15223
342,2014,TX,169.9,41479
343,2014,UT,151.0,3431
344,2014,VT,156.6,1311
345,2014,VA,156.1,13874
346,2014,WA,137.2,10710
347,2014,WV,192.9,4692
348,2014,WI,155.1,11229
349,2014,WY,162.2,1035
350,2005,AL,274.5,12869
351,2005,AK,166.1,627
352,2005,AZ,189.8,10966
353,2005,AR,250.3,7575
354,2005,CA,203.0,64916
355,2005,CO,164.8,6307
356,2005,CT,180.7,7650
357,2005,DE,232.3,2031
358,2005,FL,200.0,46279
359,2005,GA,236.0,16781
360,2005,HI,160.9,2319
361,2005,ID,182.6,2450
362,2005,IL,220.7,28226
363,2005,IN,227.9,14542
364,2005,IA,196.6,7437
365,2005,KS,192.6,5960
366,2005,KY,257.3,10782
367,2005,LA,256.9,11008
368,2005,ME,186.5,2941
369,2005,MD,217.9,11594
370,2005,MA,179.0,13280
371,2005,MI,241.3,25128
372,2005,MN,145.4,7926
373,2005,MS,306.4,8637
374,2005,MO,236.7,14974
375,2005,MT,172.2,1855
376,2005,NE,179.4,3640
377,2005,NV,246.7,5094
378,2005,NH,189.8,2530
379,2005,NJ,219.1,20655
380,2005,NM,186.3,3435
381,2005,NY,248.3,51985
382,2005,NC,211.6,17765
383,2005,ND,181.2,1512
384,2005,OH,231.9,29003
385,2005,OK,272.4,10043
386,2005,OR,169.6,6791
387,2005,PA,229.3,36207
388,2005,RI,226.8,3005
389,2005,SC,223.9,9359
390,2005,SD,186.3,1776
391,2005,TN,251.2,14946
392,2005,TX,220.4,40152
393,2005,UT,167.9,2872
394,2005,VT,180.5,1234
395,2005,VA,203.0,14192
396,2005,WA,180.5,10985
397,2005,WV,253.6,5538
398,2005,WI,190.6,11842
399,2005,WY,188.3,952
